0.00 --> 0.60 :  Tuck
68.62 --> 69.26 :  painful,
69.54 --> 69.72 :  but
69.72 --> 69.84 :  it
69.84 --> 69.98 :  was
69.98 --> 70.86 :  absolutely
70.86 --> 71.66 :  necessary.
72.14 --> 72.48 :  It
72.48 --> 72.62 :  was
72.62 --> 72.78 :  the
72.78 --> 73.20 :  only
73.20 --> 73.46 :  way
73.46 --> 73.62 :  to
73.62 --> 74.26 :  surgically
74.26 --> 74.56 :  remove
74.56 --> 74.86 :  the
74.86 --> 75.32 :  cancer
75.32 --> 75.60 :  of
75.60 --> 75.74 :  the
75.74 --> 76.26 :  devices
76.26 --> 76.52 :  and
76.52 --> 76.92 :  services
76.92 --> 77.56 :  strategy
77.56 --> 78.12 :  and
78.12 --> 78.70 :  refocus
78.70 --> 78.96 :  the
78.96 --> 79.32 :  company
79.32 --> 79.56 :  on
79.56 --> 79.74 :  what
79.74 --> 80.32 :  actually
80.32 --> 80.82 :  mattered.
81.32 --> 81.68 :  It
81.68 --> 81.80 :  was
81.80 --> 81.94 :  a
81.94 --> 82.28 :  clear
82.28 --> 82.74 :  signal
82.74 --> 82.96 :  that
82.96 --> 83.12 :  they
83.12 --> 83.24 :  were
83.24 --> 83.50 :  no
83.50 --> 83.92 :  longer
83.92 --> 84.20 :  going
84.20 --> 84.34 :  to
84.34 --> 84.58 :  throw
84.58 --> 84.92 :  good
84.92 --> 85.20 :  money
85.20 --> 85.60 :  after
85.60 --> 85.88 :  bad
85.88 --> 86.48 :  just
86.48 --> 86.86 :  because
86.86 --> 87.08 :  of
87.08 --> 87.32 :  ego.
88.12 --> 88.32 :  The
88.32 --> 88.72 :  second
88.72 --> 89.14 :  sacred
89.14 --> 89.36 :  cow
89.36 --> 89.58 :  he
89.58 --> 90.06 :  slaughtered
90.06 --> 90.18 :  was
90.18 --> 90.62 :  even
90.62 --> 91.00 :  more
91.00 --> 91.42 :  shocking
91.42 --> 91.62 :  to
91.62 --> 92.08 :  longtime
92.08 --> 92.52 :  Microsoft
92.52 --> 93.20 :  employees.
93.82 --> 94.08 :  For
94.08 --> 94.56 :  decades,
95.10 --> 95.12 :  the
95.12 --> 95.62 :  entire
95.62 --> 96.16 :  company
96.16 --> 96.74 :  revolved
96.74 --> 96.96 :  around
96.96 --> 97.34 :  one
97.34 --> 97.72 :  thing,
98.20 --> 98.56 :  selling
98.56 --> 99.04 :  windows.
99.58 --> 99.90 :  But
99.90 --> 100.08 :  their
100.08 --> 100.46 :  biggest
100.46 --> 100.92 :  rival,
101.18 --> 101.48 :  Apple,
101.68 --> 101.76 :  had
101.76 --> 101.94 :  the
101.94 --> 102.26 :  iPad
102.26 --> 102.92 :  and
102.92 --> 103.36 :  millions
103.36 --> 103.62 :  of
103.62 --> 103.94 :  people
103.94 --> 104.12 :  were
104.12 --> 104.42 :  using
104.42 --> 104.58 :  it
104.58 --> 104.76 :  for
104.76 --> 105.12 :  work.
105.12 --> 105.80 :  They
105.80 --> 106.24 :  wanted
106.24 --> 106.70 :  Microsoft
106.70 --> 107.24 :  Office
107.24 --> 107.48 :  on
107.48 --> 107.66 :  it.
108.20 --> 108.38 :  Under
108.38 --> 108.84 :  Balmer,
109.06 --> 109.24 :  this
109.24 --> 109.50 :  was
109.50 --> 110.18 :  heresy.
110.72 --> 110.92 :  Putting
110.92 --> 111.16 :  your
111.16 --> 111.74 :  flagship
111.74 --> 112.26 :  product
112.26 --> 112.50 :  on
112.50 --> 112.62 :  a
112.62 --> 113.34 :  competitor's
113.34 --> 113.84 :  platform,
114.22 --> 114.60 :  never,
115.00 --> 115.14 :  it
115.14 --> 115.24 :  would
115.24 --> 115.50 :  hurt
115.50 --> 115.86 :  Windows
115.86 --> 116.32 :  sales.
117.04 --> 117.52 :  Nadella
117.52 --> 117.80 :  saw
117.80 --> 117.98 :  it
117.98 --> 118.40 :  differently.
118.92 --> 119.10 :  His
119.10 --> 119.48 :  mantra
119.48 --> 119.78 :  was
119.78 --> 120.18 :  cloud
120.18 --> 120.66 :  first,
121.16 --> 121.32 :  mobile
121.32 --> 121.80 :  first,
122.04 --> 122.26 :  not
122.26 --> 122.72 :  Windows
122.72 --> 123.10 :  first.
123.70 --> 124.08 :  So
124.08 --> 124.40 :  in
124.40 --> 124.60 :  one
124.60 --> 124.70 :  of
124.70 --> 124.82 :  his
124.82 --> 125.28 :  first
125.28 --> 125.76 :  major
125.76 --> 126.18 :  public
126.18 --> 126.52 :  demos,
127.04 --> 127.10 :  he
127.10 --> 127.44 :  stood
127.44 --> 127.66 :  on
127.66 --> 128.02 :  stage
128.02 --> 128.32 :  and
128.32 --> 128.88 :  proudly
128.88 --> 129.68 :  demonstrated
129.68 --> 130.20 :  Microsoft
130.20 --> 131.04 :  Office
131.04 --> 131.64 :  running
131.64 --> 132.48 :  flawlessly
132.48 --> 132.74 :  on
132.74 --> 132.88 :  an
132.88 --> 133.24 :  Apple
133.24 --> 133.84 :  iPad.
134.46 --> 134.78 :  People
134.78 --> 135.54 :  inside
135.54 --> 135.96 :  Microsoft
135.96 --> 136.44 :  were
136.44 --> 136.98 :  stunned.
137.54 --> 137.72 :  It
137.72 --> 137.84 :  was
137.84 --> 138.04 :  like
138.04 --> 138.22 :  the
138.22 --> 138.54 :  Pope
138.54 --> 139.24 :  endorsing
139.24 --> 139.50 :  another
139.50 --> 139.98 :  religion.
140.52 --> 140.76 :  But
140.76 --> 140.90 :  the
140.90 --> 141.28 :  message
141.28 --> 141.58 :  was
141.58 --> 142.22 :  crystal
142.22 --> 142.56 :  clear.
143.10 --> 143.34 :  We
143.34 --> 143.82 :  will
143.82 --> 144.04 :  go
144.04 --> 144.26 :  where
144.26 --> 144.42 :  our
144.42 --> 144.78 :  customers
144.78 --> 145.18 :  are,
145.56 --> 145.86 :  even
145.86 --> 146.04 :  if
146.04 --> 146.24 :  it's
146.24 --> 146.34 :  on
146.34 --> 146.46 :  our
146.46 --> 146.78 :  biggest
146.78 --> 147.20 :  rivals
147.20 --> 147.72 :  hardware.
148.28 --> 148.56 :  We
148.56 --> 148.68 :  are
148.68 --> 148.94 :  no
148.94 --> 149.42 :  longer
149.42 --> 149.60 :  at
149.60 --> 149.88 :  war
149.88 --> 150.16 :  with
150.16 --> 150.58 :  everyone.
151.02 --> 151.28 :  We
151.28 --> 151.52 :  are
151.52 --> 151.68 :  in
151.68 --> 151.80 :  the
151.80 --> 152.22 :  business
152.22 --> 152.54 :  of
152.54 --> 153.00 :  servant
153.00 --> 153.58 :  customers.
154.26 --> 154.62 :  These
154.62 --> 154.92 :  two
154.92 --> 155.44 :  moves,
155.76 --> 155.94 :  one
155.94 --> 156.74 :  abroudal
156.74 --> 157.28 :  execution
157.28 --> 157.74 :  and
157.74 --> 157.86 :  the
157.86 --> 158.20 :  other
158.20 --> 158.42 :  a
158.42 --> 158.94 :  shocking
158.94 --> 159.26 :  act
159.26 --> 159.44 :  of
159.44 --> 159.74 :  peace,
159.74 --> 160.38 :  proved
160.38 --> 160.68 :  to
160.68 --> 161.16 :  everyone
161.16 --> 161.62 :  that
161.62 --> 161.80 :  the
161.80 --> 162.04 :  hit
162.04 --> 162.48 :  refresh
162.48 --> 162.94 :  was
162.94 --> 163.38 :  real.
