0.00 --> 0.36 :  For
85.44 --> 85.56 :  a
85.56 --> 85.88 :  decade,
86.26 --> 86.40 :  with
86.40 --> 86.52 :  its
86.52 --> 86.76 :  market
86.76 --> 87.40 :  capitalization
87.40 --> 87.82 :  significantly
87.82 --> 88.42 :  trailing
88.42 --> 88.68 :  Apple
88.68 --> 88.84 :  and
88.84 --> 89.08 :  Google.
89.66 --> 89.94 :  Windows
89.94 --> 90.36 :  Phone,
90.60 --> 90.84 :  despite
90.84 --> 91.42 :  substantial
91.42 --> 91.90 :  investment,
92.32 --> 92.44 :  held
92.44 --> 92.62 :  a
92.62 --> 93.08 :  meager
93.08 --> 93.48 :  3
93.48 --> 93.86 : %
93.86 --> 94.06 :  of
94.06 --> 94.16 :  the
94.16 --> 94.40 :  global
94.40 --> 94.72 :  smartphone
94.72 --> 95.16 :  market
95.16 --> 95.30 :  by
95.30 --> 95.96 :  2014,
96.28 --> 96.48 :  while
96.48 --> 96.80 :  Android
96.80 --> 97.00 :  and
97.00 --> 97.24 :  iOS
97.24 --> 97.94 :  dominated
97.94 --> 98.14 :  with
98.14 --> 98.30 :  over
98.30 --> 98.52 :  90
98.52 --> 98.58 : %
98.58 --> 98.58 :  of
98.58 --> 98.58 :  the
98.58 --> 98.58 :  market.
