0.00 --> 0.30 :  The
71.42 --> 71.64 :  used
71.64 --> 71.74 :  to
71.74 --> 72.28 :  publicly
72.28 --> 72.74 :  mock
72.74 --> 73.38 :  Microsoft
73.38 --> 73.68 :  at
73.68 --> 74.08 :  every
74.08 --> 74.72 :  opportunity.
75.32 --> 75.66 :  Under
75.66 --> 76.12 :  Nadella,
76.38 --> 76.52 :  they
76.52 --> 77.02 :  buried
77.02 --> 77.26 :  the
77.26 --> 77.72 :  hatchet.
78.08 --> 78.36 :  They
78.36 --> 78.68 :  announced
78.68 --> 78.90 :  a
78.90 --> 79.38 :  major
79.38 --> 80.04 :  partnership
80.04 --> 80.30 :  to
80.30 --> 80.50 :  make
80.50 --> 80.96 :  Salesforce
80.96 --> 81.56 :  work
81.56 --> 81.92 :  better
81.92 --> 82.22 :  with
82.22 --> 82.50 :  Office
82.50 --> 83.14 :  365
83.14 --> 83.92 :  and
83.92 --> 84.36 :  Windows.
84.84 --> 85.14 :  It
85.14 --> 85.32 :  was
85.32 --> 85.46 :  a
85.46 --> 85.76 :  win
85.76 --> 86.10 : -win.
86.68 --> 87.14 :  Customers
87.14 --> 87.26 :  were
87.26 --> 87.62 :  happy,
87.94 --> 88.02 :  and
88.02 --> 88.34 :  both
88.34 --> 88.78 :  companies
88.78 --> 89.32 :  benefited.
89.94 --> 90.32 :  He
90.32 --> 90.50 :  did
90.50 --> 90.68 :  the
90.68 --> 91.06 :  same
91.06 --> 91.40 :  thing
91.40 --> 91.96 :  over
91.96 --> 92.18 :  and
92.18 --> 92.54 :  over.
93.00 --> 93.20 :  He
93.20 --> 93.46 :  stood
93.46 --> 93.66 :  on
93.66 --> 93.98 :  stage
93.98 --> 94.22 :  with
94.22 --> 94.38 :  the
94.38 --> 94.82 :  CEO
94.82 --> 95.06 :  of
95.06 --> 95.42 :  Adobe,
95.84 --> 95.92 :  a
95.92 --> 96.48 :  longtime
96.48 --> 96.94 :  rival
96.94 --> 97.16 :  in
97.16 --> 97.52 :  Creative
97.52 --> 98.04 :  Software,
98.38 --> 98.56 :  to
98.56 --> 98.82 :  announce
98.82 --> 99.08 :  a
99.08 --> 99.32 :  cloud
99.32 --> 99.90 :  partnership.
100.40 --> 100.66 :  He
100.66 --> 100.84 :  made
100.84 --> 101.14 :  deals
101.14 --> 101.40 :  with
101.40 --> 101.80 :  SAP,
102.34 --> 102.58 :  with
102.58 --> 103.02 :  Oracle,
103.48 --> 103.58 :  and
103.58 --> 103.80 :  most
103.80 --> 104.48 :  shockingly,
104.76 --> 104.90 :  with
104.90 --> 105.26 :  Red
105.26 --> 105.56 :  Hat,
105.98 --> 106.08 :  the
106.08 --> 106.50 :  biggest
106.50 --> 107.04 :  company
107.04 --> 107.40 :  built
107.40 --> 107.66 :  on
107.66 --> 108.02 :  Linux,
108.46 --> 108.56 :  the
108.56 --> 108.98 :  operating
108.98 --> 109.46 :  system
109.46 --> 109.98 :  Balmer
109.98 --> 110.28 :  called
110.28 --> 110.42 :  a
110.42 --> 111.04 :  cancer.
111.68 --> 112.04 :  These
112.04 --> 112.40 :  moves
112.40 --> 112.70 :  were
112.70 --> 112.96 :  about
112.96 --> 113.46 :  pure
113.46 --> 114.50 :  pragmatism
114.50 --> 114.80 :  over
114.80 --> 115.30 :  corporate
115.30 --> 115.72 :  ego.
116.36 --> 116.84 :  Nadella's
116.84 --> 117.38 :  philosophy
117.38 --> 117.76 :  was
117.76 --> 118.20 :  simple.
118.60 --> 118.84 :  If
118.84 --> 118.96 :  a
118.96 --> 119.34 :  partnership
119.34 --> 119.86 :  helps
119.86 --> 120.02 :  our
120.02 --> 120.48 :  customers,
120.80 --> 121.00 :  we
121.00 --> 121.16 :  will
121.16 --> 121.36 :  do
121.36 --> 121.58 :  it,
121.82 --> 122.10 :  even
122.10 --> 122.28 :  if
122.28 --> 122.46 :  it's
122.46 --> 122.58 :  with
122.58 --> 122.74 :  our
122.74 --> 123.18 :  biggest
123.18 --> 123.84 :  competitor.
124.52 --> 124.88 :  This
124.88 --> 125.26 :  new,
125.46 --> 125.84 :  open,
126.06 --> 126.58 :  collaborative
126.58 --> 127.18 :  Microsoft
127.18 --> 127.58 :  was
127.58 --> 128.12 :  almost
128.12 --> 129.36 :  unrecognizable.
129.78 --> 130.02 :  It
130.02 --> 130.48 :  changed
130.48 --> 130.68 :  their
130.68 --> 131.18 :  reputation
131.18 --> 131.52 :  in
131.52 --> 131.66 :  the
131.66 --> 132.10 :  industry
132.10 --> 132.46 :  from
132.46 --> 132.62 :  a
132.62 --> 132.96 :  bully
132.96 --> 133.38 :  to
133.38 --> 133.52 :  a
133.52 --> 133.94 :  partner.
134.38 --> 134.64 :  It
134.64 --> 134.92 :  showed
134.92 --> 135.10 :  a
135.10 --> 135.38 :  level
135.38 --> 135.56 :  of
135.56 --> 136.10 :  maturity
136.10 --> 136.50 :  and
136.50 --> 136.86 :  focus
136.86 --> 137.14 :  on
137.14 --> 137.26 :  the
137.26 --> 137.74 :  customer
137.74 --> 138.18 :  that
138.18 --> 138.26 :  had
138.26 --> 138.42 :  been
138.42 --> 138.78 :  missing
138.78 --> 139.08 :  for
139.08 --> 139.48 :  over
139.48 --> 139.64 :  a
139.64 --> 140.06 :  decade.
140.60 --> 140.90 :  They
140.90 --> 141.40 :  realized
141.40 --> 141.74 :  it
141.74 --> 141.88 :  was
141.88 --> 142.18 :  better
142.18 --> 142.40 :  to
142.40 --> 142.64 :  own
142.64 --> 142.84 :  a
142.84 --> 143.14 :  piece
143.14 --> 143.42 :  of
143.42 --> 143.58 :  a
143.58 --> 144.10 :  massive
144.10 --> 144.58 :  growing
144.58 --> 144.88 :  pie
144.88 --> 145.46 :  than
145.46 --> 145.58 :  to
145.58 --> 145.88 :  fight
145.88 --> 146.10 :  to
146.10 --> 146.20 :  the
146.20 --> 146.68 :  death
146.68 --> 146.96 :  over
146.96 --> 147.10 :  a
147.10 --> 147.46 :  small
147.46 --> 148.06 :  shrinking
148.06 --> 148.36 :  one.
