0.00 --> 0.42 :  Perhaps
113.68 --> 113.94 :  Apple
113.94 --> 114.16 :  to
114.16 --> 114.40 :  ensure
114.40 --> 114.76 :  Office
114.76 --> 115.38 :  365
115.38 --> 115.74 :  ran
115.74 --> 116.16 :  seamlessly
116.16 --> 116.46 :  on
116.46 --> 116.68 :  iOS
116.68 --> 117.22 :  devices,
117.68 --> 118.02 :  partnering
118.02 --> 118.28 :  with
118.28 --> 118.56 :  Samsung
118.56 --> 118.94 :  on
118.94 --> 119.24 :  Android
119.24 --> 119.72 :  integration
119.72 --> 119.98 :  for
119.98 --> 120.32 :  services
120.32 --> 120.54 :  like
120.54 --> 120.72 :  your
120.72 --> 120.98 :  phone,
121.26 --> 121.62 :  and
121.62 --> 121.90 :  even
121.90 --> 122.42 :  collaborating
122.42 --> 122.72 :  with
122.72 --> 123.08 :  Oracle,
123.50 --> 123.56 :  a
123.56 --> 123.80 :  long
123.80 --> 124.18 : -standing
124.18 --> 124.56 :  database
124.56 --> 124.96 :  rival
124.96 --> 125.42 :  to
125.42 --> 125.64 :  offer
125.64 --> 126.12 :  Oracle
126.12 --> 126.44 :  Cloud
126.44 --> 127.10 :  Infrastructure
127.10 --> 127.48 :  services
127.48 --> 127.66 :  on
127.66 --> 127.90 :  Azure.
128.50 --> 128.76 :  These
128.76 --> 129.34 :  collaborations
129.34 --> 130.00 :  demonstrated
130.00 --> 130.22 :  a
130.22 --> 130.76 :  maturity
130.76 --> 131.00 :  in
131.00 --> 131.50 :  strategic
131.50 --> 132.00 :  foresight,
132.50 --> 132.88 :  recognizing
132.88 --> 133.18 :  that
133.18 --> 133.34 :  in
133.34 --> 133.46 :  a
133.46 --> 133.80 :  connected
133.80 --> 134.20 :  world,
134.64 --> 134.84 :  building
134.84 --> 135.18 :  bridges
135.18 --> 135.48 :  can
135.48 --> 135.70 :  yield
135.70 --> 136.06 :  greater
136.06 --> 136.48 :  benefits
136.48 --> 136.74 :  than
136.74 --> 137.02 :  building
137.02 --> 137.26 :  walls.
137.94 --> 138.24 :  This
138.24 --> 138.50 :  shift
138.50 --> 138.72 :  from
138.72 --> 138.86 :  an
138.86 --> 139.10 :  us
139.10 --> 139.48 :  versus
139.48 --> 139.70 :  them
139.70 --> 140.20 :  mentality
140.20 --> 140.52 :  to
140.52 --> 140.66 :  an
140.66 --> 140.92 :  us
140.92 --> 141.16 :  with
141.16 --> 141.32 :  them
141.32 --> 141.78 :  approach
141.78 --> 142.38 :  allowed
142.38 --> 142.78 :  Microsoft
142.78 --> 143.12 :  to
143.12 --> 143.50 :  expand
143.50 --> 143.74 :  its
143.74 --> 144.00 :  reach
144.00 --> 144.46 :  in
144.46 --> 144.64 :  rich
144.64 --> 144.80 :  its
144.80 --> 145.22 :  platforms
145.22 --> 145.72 :  and
145.72 --> 146.16 :  ultimately
146.16 --> 146.66 :  contribute
146.66 --> 146.94 :  more
146.94 --> 147.32 :  broadly
147.32 --> 147.52 :  to
147.52 --> 147.60 :  the
147.60 --> 147.80 :  global
147.80 --> 148.28 :  technology
148.28 --> 148.66 :  landscape.
