0.00 --> 0.44 :  Key
56.42 --> 57.28 :  repurposed.
57.82 --> 57.96 :  That
57.96 --> 58.30 :  same
58.30 --> 58.68 :  team,
58.90 --> 59.04 :  that
59.04 --> 59.38 :  same
59.38 --> 59.80 :  knowledge
59.80 --> 60.22 :  went
60.22 --> 60.38 :  on
60.38 --> 60.52 :  to
60.52 --> 60.82 :  create
60.82 --> 61.02 :  the
61.02 --> 61.34 :  Amazon
61.34 --> 61.82 :  Echo
61.82 --> 62.08 :  and
62.08 --> 62.46 :  Alexa,
63.00 --> 63.18 :  a
63.18 --> 63.52 :  product
63.52 --> 63.76 :  that
63.76 --> 64.10 :  created
64.10 --> 64.34 :  an
64.34 --> 64.86 :  entirely
64.86 --> 65.32 :  new
65.32 --> 65.80 :  category
65.80 --> 66.04 :  of
66.04 --> 66.60 :  technology.
67.12 --> 67.36 :  By
67.36 --> 68.04 :  2019,
68.50 --> 68.80 :  tens
68.80 --> 69.06 :  of
69.06 --> 69.32 :  millions
69.32 --> 69.58 :  of
69.58 --> 69.86 :  homes
69.86 --> 70.08 :  had
70.08 --> 70.26 :  an
70.26 --> 70.48 :  Echo
70.48 --> 70.80 :  device.
71.48 --> 71.62 :  The
71.62 --> 71.96 :  ashes
71.96 --> 72.18 :  of
72.18 --> 72.32 :  their
72.32 --> 72.66 :  biggest
72.66 --> 73.08 :  failure
73.08 --> 73.52 :  became
73.52 --> 73.72 :  the
73.72 --> 74.10 :  soil
74.10 --> 74.36 :  for
74.36 --> 74.52 :  one
74.52 --> 74.60 :  of
74.60 --> 74.74 :  their
74.74 --> 75.08 :  biggest
75.08 --> 75.68 :  successes.
76.54 --> 76.96 :  Failure
76.96 --> 77.16 :  is
77.16 --> 77.60 :  only
77.60 --> 78.04 :  failure
78.04 --> 78.32 :  if
78.32 --> 78.44 :  you
78.44 --> 78.66 :  learn
78.66 --> 79.10 :  nothing
79.10 --> 79.40 :  from
79.40 --> 79.60 :  it.
